timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668584323586,11,Инфо о профиле 2.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,517,288,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/profile/info/1?size=1000,11,0,0
1668584323598,7,measure-units.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,484,273,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/measure-units,7,0,0
1668584323605,21,Премишшены.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,85618,291,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/permissions?size=1000&size=1000,20,0,0
1668584323626,14,Системные настройки,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,114417,283,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/system-properties/front,12,0,0
1668584323640,12,Группы позиций.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,7239,299,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/position-groups?size=100000&size=100000,12,0,0
1668584323652,8,Типы событий 2.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,671,313,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/organization-unit-event-types?size=100000&size=100000,8,0,0
1668584323660,10,Группы позиций 2.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,522,279,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/position-groups,10,0,0
1668584323671,9,Навыки.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,1432,290,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/skills?size=100000&size=100000,9,0,0
1668584323680,9,KPI листы.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,4930,293,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/kpi-list?filter=false&filter=true,8,0,0
1668584323689,134, Первые 50 оргюнитов.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,48618,360,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/org-units?calculated=true&size=50&sort=name%2Casc&include-date=2022-09-16&open-after-date=2022-09-16,133,0,0
1668584323823,11,Типы событий.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,522,317,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/organization-unit-event-types?size=100000&size=100000,11,0,0
1668584323834,8,Переодичные названия.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,text,true,,671,310,14,14,https://goodt-pochta-loadqa.goodt.me/api/v1/search/periodicity-names,8,0,0
1668584323555,284,0g,200,"Number of samples in transaction : 14, number of failing samples : 0",от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-14,,true,,303590,4149,14,14,null,279,3,0
1668584323845,33,События для оргюнита,200,,parallel 1 stack,text,true,,484,343,6,14,https://goodt-pochta-loadqa.goodt.me/api/v1/organization-unit-events?from=2022-09-01&to=2022-09-30&org-unit-ids=146&size=100000,33,0,24
1668584323845,42,Оргюнит,200,,parallel 1 stack,text,true,,12633,273,5,14,https://goodt-pochta-loadqa.goodt.me/api/v1/org-units/146,42,0,25
1668584323844,40,Рабочие дни за месяц для оргюнита,200,OK,parallel 1 stack,text,true,,5328,325,5,14,https://goodt-pochta-loadqa.goodt.me/api/v1/org-units/146/working-schedule-days?from=2022-09-01&to=2022-09-30,40,0,20
