omId,employeeId
74902,1361540
74902,647685
74902,918738
74902,645308
74902,1229693
74902,646244
74902,1202117
74724,1052966
79384,1060127
79384,1055799
82925,1000824
82925,993313
82925,1049121
82925,1037289
82925,1219629
81398,831360
81398,1185057
81398,830575
81398,1206444
82413,818804
82413,813221
82413,828507
82413,931549
82413,930667
82429,1097939
82429,1258980
82429,1096929
82429,1232503
82429,1060418
85353,1052399
85353,1324302
85353,1050940
85353,1052221
85353,1184349
85353,1147887
85353,1037975
74675,895841
74675,973265
74675,935626
74675,1091254
74675,1359942
74675,1106086
74675,1195827
74675,899539
47124,875047
47124,1295621
47124,875049
47124,1201577
47124,929866
47124,925103
47124,1282548
47124,875109
47124,947210
76755,891501
76755,1054164
76755,925053
76755,904413
76755,1171541
76755,1051124
76755,891411
76755,1284396
76755,908319
76755,875431
77690,705444
77690,703820
77690,1359223
77690,985009
77690,704604
77690,703066
77690,703642
77696,705194
77696,700125
77696,706113
77696,706273
77696,704113
77696,701542
77696,702771
77696,705180
77696,1334622
77696,1180801
77696,1173077
77696,703591
77696,1334696
77705,700678
77705,706456
77705,700736
82291,1234995
82291,1250692
82291,1251437
82291,1255041
82291,1252471
82291,1229510
82291,1229441
77712,1003277
77712,704654
77712,705674
77712,704491
77712,705110
77712,1003213
77712,702455
77712,705209
77714,865470
77714,1018101
77714,704502
77714,704067
77717,705601
77717,704614
77717,701863
77726,699934
77726,1303419
77726,1128939
77726,706711
77726,702249
77726,703396
77726,701722
77726,1150450
77726,706011
77726,702299
77726,703893
77726,1128917
75064,647062
75064,645837
75064,1178905
75064,644520
77737,705241
77737,1100004
77737,1105966
77744,703665
77744,706187
77744,1226961
77744,700291
77748,704339
77748,1125032
77748,702322
77748,700396
77748,702792
77752,1312305
77752,1364555
77752,1141891
77752,1230608
77752,701482
77752,704438
77752,701624
77752,701116
77752,1252138
77752,1274752
77754,1006224
77754,1130108
77754,1151131
77754,888528
77754,1259722
77754,1216594
77754,1322470
77754,700355
77754,703841
77754,737860
77754,703147
77754,701335
77758,701910
77758,705415
77758,706003
77758,700949
77758,704450
77758,958261
77760,705518
77760,700100
77760,1105488
77760,701650
77760,705930
77760,941417
77760,700165
77760,704183
77760,705261
77760,703986
77760,1326721
77761,705111
83814,1006104
83814,1230024
83814,1314822
83814,1063328
83814,1144068
83814,874800
83814,869795
83814,904435
83814,1064956
75543,646380
75543,1356367
75543,1312879
75543,649220
78668,1355890
78668,1092492
78668,703064
78668,703558
78668,703609
78668,1307236
78668,702996
78668,1261735
78668,705734
78668,1361024
78672,701528
78672,809948
78672,701926
78672,948663
78672,704583
78672,889974
78672,701190
78672,702364
78672,704124
78673,789959
78675,703633
78675,705191
78675,1284969
78675,703041
78675,1202245
78675,791641
78675,703013
78675,908404
78675,705662
78675,700503
78675,705536
78675,704027
78675,702477
78675,703516
78675,856263
78675,1257212
78675,705935
78675,700290
78675,700639
78677,1116282
78677,906505
78677,705356
78677,1241980
78677,700449
78677,703471
78677,705388
78677,868395
78677,1024171
75544,1236616
78682,700690
78682,702354
78682,700558
78682,787272
78682,1228975
78694,705994
77770,700271
77778,1263019
77778,702812
77778,1051722
77790,705465
77790,702498
77790,795370
77790,705455
77790,1083721
77802,701836
77802,704774
77802,920620
77803,706305
77803,701617
77803,700843
77803,704724
77803,1310462
77806,705535
77806,1253345
77806,1003401
77806,704173
77806,1154378
77806,704600
77807,704691
77807,700338
77807,705215
77808,1194993
77808,703414
77808,702844
77808,1133112
77808,1280058
77808,700602
77808,702824
77808,705427
77808,704174
77808,809271
77808,705940
77808,704381
77808,703849
77808,1334583
77808,1166098
77808,701783
77808,706392
77816,706717
77816,1283366
77816,704599
77816,704407
85617,1053166
85617,1147266
85617,1057135
85617,1064300
84890,1341767
84890,1163256
84890,968144
84890,1171659
84891,1266278
84891,961917
84891,1207273
84891,1174062
84891,1174004
59411,1229017
59411,1137206
59411,1168811
59411,1262889
59411,869465
85621,1065365
77041,1125735
77041,1025410
77041,1070830
87296,1150057
84844,1229420
84844,1212032
84844,1301552
84844,1211975
79826,1109169
79826,1363837
79826,1301119
79826,1132460
79826,1351736
79826,985627
76680,746810
76680,1179560
76680,881312
76680,1093386
76556,887370
74661,786574
74661,1218418
74661,1208087
74661,792500
76908,1309866
76908,1352658
57672,1099533
57672,1085313
57672,1138217
57672,1096760
57672,1235324
57672,1093220
57672,1262941
57672,1319591
76339,1121266
76339,1128973
76339,1243499
76339,1150037
79963,1262999
79963,1262900
79963,1262909
79963,1295288
79963,1263026
79963,1262877
79963,1263005
79963,1345040
56119,729881
56119,1243915
56119,1144870
56119,1074680
56119,1232527
56119,1173092
56119,721943
79985,987920
79985,1120956
79985,1254056
79985,1123632
79985,1121754
79985,1121888
79985,1148284
79985,1120939
76321,984611
76321,999613
76426,1171580
76426,1231774
77493,1143120
77493,1210231
77493,1245094
77493,1210556
77493,1248486
77493,1250804
77493,1356580
79957,1114591
79957,1142577
79957,1313537
79957,1183037
79957,1250895
79957,1159698
77137,809694
77137,855569
77137,1114724
77137,857211
77137,807312
36402,764073
36402,870251
36402,1124410
36402,1224587
36402,1173264
36402,832611
36402,1182969
36402,831446
36402,805201
59733,814250
59733,1300960
59733,835152
59733,832584
59733,817668
59733,1016539
76985,1263390
76985,1268192
76985,1268197
76985,1351243
76985,1354872
76985,1274937
75880,644467
75880,737710
75880,819272
75876,645502
77519,1236019
77519,1254750
77519,1231348
77519,1344509
77519,1234779
77519,1178483
75983,645393
75983,647274
75983,1036043
75983,648982
75983,645777
75983,646107
75985,645180
75985,646062
75985,688792
75985,1074824
75985,647456
75985,1318289
75985,1173916
75985,646554
75985,1026850
75985,792683
75985,687316
75985,1338730
75985,946118
75985,1030746
75985,1346512
75989,646902
75989,848509
75989,644175
75989,645822
75989,1327557
75989,649422
75989,646198
75989,644621
75082,649006
75082,648161
75082,644902
75082,648194
75082,648289
82521,1263523
82521,1323444
82521,1301465
82521,1338923
82521,1262948
74898,1124544
74898,1210228
74898,1202675
74898,647408
76785,971780
76785,764757
85439,1341102
85439,1295374
85008,1340992
85008,1343514
85008,1352224
85008,1351573
85008,1354910
76246,825599
76246,842097
76246,1265572
76246,1054767
76246,825646
76246,965396
